Index," ""Year"""," ""Age"""," ""Name"""," ""Movie""",,Gender
88, 1971, 34," ""Glenda Jackson"""," ""Women in Love""",,F
89, 1972, 42," ""Gene Hackman"""," ""The French Connection""",,M
90, 1972, 34," ""Jane Fonda"""," ""Klute""",,F
91, 1973, 48," ""Marlon Brando"""," ""The Godfather""",,M
92, 1973, 27," ""Liza Minnelli"""," ""Cabaret""",,F
93, 1974, 49," ""Jack Lemmon"""," ""Save the Tiger""",,M
94, 1974, 37," ""Glenda Jackson"""," ""A Touch of Class""",,F
95, 1975, 56," ""Art Carney"""," ""Harry and Tonto""",,M
96, 1975, 42," ""Ellen Burstyn"""," ""Alice Doesn't Live Here Anymore""	",,F
97, 1976, 38," ""Jack Nicholson"""," ""One Flew Over the Cuckoo's Nest""",,M
98, 1976, 41," ""Louise Fletcher"""," ""One Flew Over the Cuckoo's Nest""",,F
99, 1977, 60," ""Peter Finch"""," ""Network""",,M
100, 1977, 36," ""Faye Dunaway"""," ""Network""",,F
101, 1978, 30," ""Richard Dreyfuss"""," ""The Goodbye Girl""",,M
102, 1978, 32," ""Diane Keaton"""," ""Annie Hall""",,F
103, 1979, 40," ""Jon Voight"""," ""Coming Home""",,M
104, 1979, 41," ""Jane Fonda"""," ""Coming Home""",,F
105, 1980, 42," ""Dustin Hoffman"""," ""Kramer vs. Kramer""",,M
106, 1980, 33," ""Sally Field"""," ""Norma Rae""",,F
107, 1981, 37," ""Robert De Niro"""," ""Raging Bull""",,M
108, 1981, 31," ""Sissy Spacek"""," ""Coal Miner's Daughter""	",,F
109, 1982, 76," ""Henry Fonda"""," ""On Golden Pond""",,M
110, 1982, 74," ""Katharine Hepburn"""," ""On Golden Pond""",,F
111, 1983, 39," ""Ben Kingsley"""," ""Gandhi""",,M
112, 1983, 33," ""Meryl Streep"""," ""Sophie's Choice""",,F
113, 1984, 53," ""Robert Duvall"""," ""Tender Mercies""",,M
114, 1984, 49," ""Shirley MacLaine"""," ""Terms of Endearment""	",,F
115, 1985, 45," ""F. Murray Abraham"""," ""Amadeus""",,M
116, 1985, 38," ""Sally Field"""," ""Places in the Heart""",,F
117, 1986, 36," ""William Hurt"""," ""Kiss of the Spider Woman""",,M
118, 1986, 61," ""Geraldine Page"""," ""The Trip to Bountiful""	",,F
119, 1987, 62," ""Paul Newman"""," ""The Color of Money""",,M
120, 1987, 21," ""Marlee Matlin"""," ""Children of a Lesser God""",,F
121, 1988, 43," ""Michael Douglas"""," ""Wall Street""",,M
122, 1988, 41," ""Cher"""," ""Moonstruck""",,F
123, 1989, 51," ""Dustin Hoffman"""," ""Rain Man""",,M
124, 1989, 26," ""Jodie Foster"""," ""The Accused""",,F
125, 1990, 32," ""Daniel Day-Lewis"""," ""My Left Foot""",,M
126, 1990, 80," ""Jessica Tandy"""," ""Driving Miss Daisy""",,F
127, 1991, 42," ""Jeremy Irons"""," ""Reversal of Fortune""",,M
128, 1991, 42," ""Kathy Bates"""," ""Misery""",,F
129, 1992, 54," ""Anthony Hopkins"""," ""The Silence of the Lambs""",,M
130, 1992, 29," ""Jodie Foster"""," ""The Silence of the Lambs""",,F
131, 1993, 52," ""Al Pacino"""," ""Scent of a Woman""",,M
132, 1993, 33," ""Emma Thompson"""," ""Howards End""",,F
133, 1994, 37," ""Tom Hanks"""," ""Philadelphia""",,M
134, 1994, 36," ""Holly Hunter"""," ""The Piano""",,F
135, 1995, 38," ""Tom Hanks"""," ""Forrest Gump""",,M
136, 1995, 45," ""Jessica Lange"""," ""Blue Sky""",,F
137, 1996, 32," ""Nicolas Cage"""," ""Leaving Las Vegas""",,M
138, 1996, 49," ""Susan Sarandon"""," ""Dead Man Walking""",,F
139, 1997, 45," ""Geoffrey Rush"""," ""Shine""",,M
140, 1997, 39," ""Frances McDormand"""," ""Fargo""",,F
141, 1998, 60," ""Jack Nicholson"""," ""As Good as It Gets""",,M
142, 1998, 34," ""Helen Hunt"""," ""As Good as It Gets""",,F
143, 1999, 46," ""Roberto Benigni"""," ""Life Is Beautiful""",,M
144, 1999, 26," ""Gwyneth Paltrow"""," ""Shakespeare in Love""",,F
145, 2000, 40," ""Kevin Spacey"""," ""American Beauty""",,M
146, 2000, 25," ""Hilary Swank"""," ""Boys Don't Cry""",,F
147, 2001, 36," ""Russell Crowe"""," ""Gladiator""",,M
148, 2001, 33," ""Julia Roberts"""," ""Erin Brockovich""",,F
149, 2002, 47," ""Denzel Washington"""," ""Training Day""	",,M
150, 2002, 35," ""Halle Berry"""," ""Monster's Ball""",,F
151, 2003, 29," ""Adrien Brody"""," ""The Pianist""",,M
152, 2003, 35," ""Nicole Kidman"""," ""The Hours""",,F
153, 2004, 43," ""Sean Penn"""," ""Mystic River""",,M
154, 2004, 28," ""Charlize Theron"""," ""Monster""",,F
155, 2005, 37," ""Jamie Foxx"""," ""Ray""",,M
156, 2005, 30," ""Hilary Swank"""," ""Million Dollar Baby""",,F
157, 2006, 38," ""Philip Seymour Hoffman"""," ""Capote""",,M
158, 2006, 29," ""Reese Witherspoon"""," ""Walk the Line""",,F
159, 2007, 45," ""Forest Whitaker"""," ""The Last King of Scotland""	",,M
160, 2007, 61," ""Helen Mirren"""," ""The Queen""",,F
161, 2008, 50," ""Daniel Day-Lewis"""," ""There Will Be Blood""",,M
162, 2008, 32," ""Marion Cotillard"""," ""La Vie en rose""",,F
163, 2009, 48," ""Sean Penn"""," ""Milk""",,M
164, 2009, 33," ""Kate Winslet"""," ""The Reader""",,F
165, 2010, 60," ""Jeff Bridges"""," ""Crazy Heart""",,M
166, 2010, 45," ""Sandra Bullock"""," ""The Blind Side""",,F
167, 2011, 50," ""Colin Firth"""," ""The King's Speech""	",,M
168, 2011, 29," ""Natalie Portman"""," ""Black Swan""",,F
169, 2012, 39," ""Jean Dujardin"""," ""The Artist""",,M
170, 2012, 62," ""Meryl Streep"""," ""The Iron Lady""",,F
171, 2013, 55," ""Daniel Day-Lewis"""," ""Lincoln""",,M
172, 2013, 22," ""Jennifer Lawrence"""," ""Silver Linings Playbook""",,F
173, 2014, 44," ""Matthew McConaughey"""," ""Dallas Buyers Club""",,M
174, 2014, 44," ""Cate Blanchett"""," ""Blue Jasmine""",,F
175, 2015, 33," ""Eddie Redmayne"""," ""The Theory of Everything""	",,M
176, 2015, 54," ""Julianne Moore"""," ""Still Alice""",,F
177, 2016, 41," ""Leonardo DiCaprio"""," ""The Revenant""",,M
178, 2016, 26," ""Brie Larson"""," ""Room""",,F
